fund,date,asset,weight
Combined Equal-Weight,2021-02-01,BCH-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,BTC-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,CAT,0.016666666666666666
Combined Equal-Weight,2021-02-01,CCI,0.016666666666666666
Combined Equal-Weight,2021-02-01,CMCSA,0.016666666666666666
Combined Equal-Weight,2021-02-01,COP,0.016666666666666666
Combined Equal-Weight,2021-02-01,CVX,0.016666666666666666
Combined Equal-Weight,2021-02-01,D,0.016666666666666666
Combined Equal-Weight,2021-02-01,DD,0.016666666666666666
Combined Equal-Weight,2021-02-01,DIS,0.016666666666666666
Combined Equal-Weight,2021-02-01,DOW,0.016666666666666666
Combined Equal-Weight,2021-02-01,DUK,0.016666666666666666
Combined Equal-Weight,2021-02-01,EA,0.016666666666666666
Combined Equal-Weight,2021-02-01,EOS-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,ETC-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,ETH-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,GE,0.016666666666666666
Combined Equal-Weight,2021-02-01,GILD,0.016666666666666666
Combined Equal-Weight,2021-02-01,GS,0.016666666666666666
Combined Equal-Weight,2021-02-01,INTC,0.016666666666666666
Combined Equal-Weight,2021-02-01,KO,0.016666666666666666
Combined Equal-Weight,2021-02-01,LTC-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,MMM,0.016666666666666666
Combined Equal-Weight,2021-02-01,MRK,0.016666666666666666
Combined Equal-Weight,2021-02-01,MS,0.016666666666666666
Combined Equal-Weight,2021-02-01,NEE,0.016666666666666666
Combined Equal-Weight,2021-02-01,NEM,0.016666666666666666
Combined Equal-Weight,2021-02-01,NKE,0.016666666666666666
Combined Equal-Weight,2021-02-01,NUE,0.016666666666666666
Combined Equal-Weight,2021-02-01,NVDA,0.016666666666666666
Combined Equal-Weight,2021-02-01,O,0.016666666666666666
Combined Equal-Weight,2021-02-01,OXY,0.016666666666666666
Combined Equal-Weight,2021-02-01,PLD,0.016666666666666666
Combined Equal-Weight,2021-02-01,PSA,0.016666666666666666
Combined Equal-Weight,2021-02-01,QCOM,0.016666666666666666
Combined Equal-Weight,2021-02-01,SBUX,0.016666666666666666
Combined Equal-Weight,2021-02-01,SHW,0.016666666666666666
Combined Equal-Weight,2021-02-01,SLB,0.016666666666666666
Combined Equal-Weight,2021-02-01,SO,0.016666666666666666
Combined Equal-Weight,2021-02-01,T,0.016666666666666666
Combined Equal-Weight,2021-02-01,TMUS,0.016666666666666666
Combined Equal-Weight,2021-02-01,TRX-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,TTWO,0.016666666666666666
Combined Equal-Weight,2021-02-01,UPS,0.016666666666666666
Combined Equal-Weight,2021-02-01,USB,0.016666666666666666
Combined Equal-Weight,2021-02-01,V,0.016666666666666666
Combined Equal-Weight,2021-02-01,WFC,0.016666666666666666
Combined Equal-Weight,2021-02-01,WMT,0.016666666666666666
Combined Equal-Weight,2021-02-01,XLM-USD,0.016666666666666666
Combined Equal-Weight,2021-02-01,XOM,0.016666666666666666
Combined Equal-Weight,2021-02-01,XRP-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,ABBV,0.016666666666666666
Combined Equal-Weight,2021-03-01,ABT,0.016666666666666666
Combined Equal-Weight,2021-03-01,ADA-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,ADBE,0.016666666666666666
Combined Equal-Weight,2021-03-01,AEP,0.016666666666666666
Combined Equal-Weight,2021-03-01,AMD,0.016666666666666666
Combined Equal-Weight,2021-03-01,AMGN,0.016666666666666666
Combined Equal-Weight,2021-03-01,AMT,0.016666666666666666
Combined Equal-Weight,2021-03-01,BA,0.016666666666666666
Combined Equal-Weight,2021-03-01,BCH-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,BTC-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,CAT,0.016666666666666666
Combined Equal-Weight,2021-03-01,CCI,0.016666666666666666
Combined Equal-Weight,2021-03-01,CMCSA,0.016666666666666666
Combined Equal-Weight,2021-03-01,COP,0.016666666666666666
Combined Equal-Weight,2021-03-01,CVX,0.016666666666666666
Combined Equal-Weight,2021-03-01,D,0.016666666666666666
Combined Equal-Weight,2021-03-01,DD,0.016666666666666666
Combined Equal-Weight,2021-03-01,DIS,0.016666666666666666
Combined Equal-Weight,2021-03-01,DOW,0.016666666666666666
Combined Equal-Weight,2021-03-01,DUK,0.016666666666666666
Combined Equal-Weight,2021-03-01,EA,0.016666666666666666
Combined Equal-Weight,2021-03-01,EOS-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,ETC-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,ETH-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,GE,0.016666666666666666
Combined Equal-Weight,2021-03-01,GILD,0.016666666666666666
Combined Equal-Weight,2021-03-01,GS,0.016666666666666666
Combined Equal-Weight,2021-03-01,INTC,0.016666666666666666
Combined Equal-Weight,2021-03-01,KO,0.016666666666666666
Combined Equal-Weight,2021-03-01,LTC-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,MMM,0.016666666666666666
Combined Equal-Weight,2021-03-01,MRK,0.016666666666666666
Combined Equal-Weight,2021-03-01,MS,0.016666666666666666
Combined Equal-Weight,2021-03-01,NEE,0.016666666666666666
Combined Equal-Weight,2021-03-01,NEM,0.016666666666666666
Combined Equal-Weight,2021-03-01,NKE,0.016666666666666666
Combined Equal-Weight,2021-03-01,NUE,0.016666666666666666
Combined Equal-Weight,2021-03-01,NVDA,0.016666666666666666
Combined Equal-Weight,2021-03-01,O,0.016666666666666666
Combined Equal-Weight,2021-03-01,OXY,0.016666666666666666
Combined Equal-Weight,2021-03-01,PLD,0.016666666666666666
Combined Equal-Weight,2021-03-01,PSA,0.016666666666666666
Combined Equal-Weight,2021-03-01,QCOM,0.016666666666666666
Combined Equal-Weight,2021-03-01,SBUX,0.016666666666666666
Combined Equal-Weight,2021-03-01,SHW,0.016666666666666666
Combined Equal-Weight,2021-03-01,SLB,0.016666666666666666
Combined Equal-Weight,2021-03-01,SO,0.016666666666666666
Combined Equal-Weight,2021-03-01,T,0.016666666666666666
Combined Equal-Weight,2021-03-01,TMUS,0.016666666666666666
Combined Equal-Weight,2021-03-01,TRX-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,TTWO,0.016666666666666666
Combined Equal-Weight,2021-03-01,UPS,0.016666666666666666
Combined Equal-Weight,2021-03-01,USB,0.016666666666666666
Combined Equal-Weight,2021-03-01,V,0.016666666666666666
Combined Equal-Weight,2021-03-01,WFC,0.016666666666666666
Combined Equal-Weight,2021-03-01,WMT,0.016666666666666666
Combined Equal-Weight,2021-03-01,XLM-USD,0.016666666666666666
Combined Equal-Weight,2021-03-01,XOM,0.016666666666666666
Combined Equal-Weight,2021-03-01,XRP-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,ABBV,0.016666666666666666
Combined Equal-Weight,2021-04-01,ABT,0.016666666666666666
Combined Equal-Weight,2021-04-01,ADA-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,ADBE,0.016666666666666666
Combined Equal-Weight,2021-04-01,AEP,0.016666666666666666
Combined Equal-Weight,2021-04-01,AMD,0.016666666666666666
Combined Equal-Weight,2021-04-01,AMGN,0.016666666666666666
Combined Equal-Weight,2021-04-01,AMT,0.016666666666666666
Combined Equal-Weight,2021-04-01,BA,0.016666666666666666
Combined Equal-Weight,2021-04-01,BCH-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,BTC-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,CAT,0.016666666666666666
Combined Equal-Weight,2021-04-01,CCI,0.016666666666666666
Combined Equal-Weight,2021-04-01,CMCSA,0.016666666666666666
Combined Equal-Weight,2021-04-01,COP,0.016666666666666666
Combined Equal-Weight,2021-04-01,CVX,0.016666666666666666
Combined Equal-Weight,2021-04-01,D,0.016666666666666666
Combined Equal-Weight,2021-04-01,DD,0.016666666666666666
Combined Equal-Weight,2021-04-01,DIS,0.016666666666666666
Combined Equal-Weight,2021-04-01,DOW,0.016666666666666666
Combined Equal-Weight,2021-04-01,DUK,0.016666666666666666
Combined Equal-Weight,2021-04-01,EA,0.016666666666666666
Combined Equal-Weight,2021-04-01,EOS-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,ETC-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,ETH-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,GE,0.016666666666666666
Combined Equal-Weight,2021-04-01,GILD,0.016666666666666666
Combined Equal-Weight,2021-04-01,GS,0.016666666666666666
Combined Equal-Weight,2021-04-01,INTC,0.016666666666666666
Combined Equal-Weight,2021-04-01,KO,0.016666666666666666
Combined Equal-Weight,2021-04-01,LTC-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,MMM,0.016666666666666666
Combined Equal-Weight,2021-04-01,MRK,0.016666666666666666
Combined Equal-Weight,2021-04-01,MS,0.016666666666666666
Combined Equal-Weight,2021-04-01,NEE,0.016666666666666666
Combined Equal-Weight,2021-04-01,NEM,0.016666666666666666
Combined Equal-Weight,2021-04-01,NKE,0.016666666666666666
Combined Equal-Weight,2021-04-01,NUE,0.016666666666666666
Combined Equal-Weight,2021-04-01,NVDA,0.016666666666666666
Combined Equal-Weight,2021-04-01,O,0.016666666666666666
Combined Equal-Weight,2021-04-01,OXY,0.016666666666666666
Combined Equal-Weight,2021-04-01,PLD,0.016666666666666666
Combined Equal-Weight,2021-04-01,PSA,0.016666666666666666
Combined Equal-Weight,2021-04-01,QCOM,0.016666666666666666
Combined Equal-Weight,2021-04-01,SBUX,0.016666666666666666
Combined Equal-Weight,2021-04-01,SHW,0.016666666666666666
Combined Equal-Weight,2021-04-01,SLB,0.016666666666666666
Combined Equal-Weight,2021-04-01,SO,0.016666666666666666
Combined Equal-Weight,2021-04-01,T,0.016666666666666666
Combined Equal-Weight,2021-04-01,TMUS,0.016666666666666666
Combined Equal-Weight,2021-04-01,TRX-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,TTWO,0.016666666666666666
Combined Equal-Weight,2021-04-01,UPS,0.016666666666666666
Combined Equal-Weight,2021-04-01,USB,0.016666666666666666
Combined Equal-Weight,2021-04-01,V,0.016666666666666666
Combined Equal-Weight,2021-04-01,WFC,0.016666666666666666
Combined Equal-Weight,2021-04-01,WMT,0.016666666666666666
Combined Equal-Weight,2021-04-01,XLM-USD,0.016666666666666666
Combined Equal-Weight,2021-04-01,XOM,0.016666666666666666
Combined Equal-Weight,2021-04-01,XRP-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,ABBV,0.016666666666666666
Combined Equal-Weight,2021-05-03,ABT,0.016666666666666666
Combined Equal-Weight,2021-05-03,ADA-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,ADBE,0.016666666666666666
Combined Equal-Weight,2021-05-03,AEP,0.016666666666666666
Combined Equal-Weight,2021-05-03,AMD,0.016666666666666666
Combined Equal-Weight,2021-05-03,AMGN,0.016666666666666666
Combined Equal-Weight,2021-05-03,AMT,0.016666666666666666
Combined Equal-Weight,2021-05-03,BA,0.016666666666666666
Combined Equal-Weight,2021-05-03,BCH-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,BTC-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,CAT,0.016666666666666666
Combined Equal-Weight,2021-05-03,CCI,0.016666666666666666
Combined Equal-Weight,2021-05-03,CMCSA,0.016666666666666666
