fund,date,daily_return
Combined Equal-Weight,2021-05-28,-0.011492925379301374
Combined Equal-Weight,2021-06-01,0.0019320991050394568
Combined Equal-Weight,2021-06-02,0.005887695082374621
Combined Equal-Weight,2021-06-03,0.006975701709594548
Combined Equal-Weight,2021-06-04,-0.006163965303206659
Combined Equal-Weight,2021-06-07,-0.015368342643534448
Combined Equal-Weight,2021-06-08,-0.002371154567070978
Combined Equal-Weight,2021-06-09,0.0073027072576986665
Combined Equal-Weight,2021-06-10,-0.004799715458690141
Combined Equal-Weight,2021-06-11,-0.005929566468440189
Combined Equal-Weight,2021-06-14,0.0007492351693836757
Combined Equal-Weight,2021-06-15,0.0008401618357091988
Combined Equal-Weight,2021-06-16,-0.01824447264472362
Combined Equal-Weight,2021-06-17,-0.005570700136612287
Combined Equal-Weight,2021-06-18,-0.022182970428932646
Combined Equal-Weight,2021-06-21,-0.01754747781534833
Combined Equal-Weight,2021-06-22,-0.004652135019746894
Combined Equal-Weight,2021-06-23,0.0114251516164361
Combined Equal-Weight,2021-06-24,0.01693102791334944
Combined Equal-Weight,2021-06-25,-0.006932437710560352
Combined Equal-Weight,2021-06-28,0.0017426400271460009
Combined Equal-Weight,2021-06-29,0.012414481983307891
Combined Equal-Weight,2021-06-30,0.005368765226058118
Combined Equal-Weight,2021-07-01,-0.0033192767515803833
Combined Equal-Weight,2021-07-02,0.004263327713458633
Combined Equal-Weight,2021-07-06,-0.004212575069847087
Combined Equal-Weight,2021-07-07,-0.002181279266246696
Combined Equal-Weight,2021-07-08,-0.014100931368607789
Combined Equal-Weight,2021-07-09,0.015525252970304146
Combined Equal-Weight,2021-07-12,6.666012125694092e-06
Combined Equal-Weight,2021-07-13,-0.009426809800300117
Combined Equal-Weight,2021-07-14,-0.00025849365444601994
Combined Equal-Weight,2021-07-15,-0.006653536534465437
Combined Equal-Weight,2021-07-16,-0.011967131418521895
Combined Equal-Weight,2021-07-19,-0.022459570395439412
Combined Equal-Weight,2021-07-20,0.0028586259219501317
Combined Equal-Weight,2021-07-21,0.022601742030328022
Combined Equal-Weight,2021-07-22,0.004775657305063478
Combined Equal-Weight,2021-07-23,0.009348842887017787
Combined Equal-Weight,2021-07-26,0.008748477236540465
Combined Equal-Weight,2021-07-27,0.002717867987850973
Combined Equal-Weight,2021-07-28,0.00635380484284413
Combined Equal-Weight,2021-07-29,0.00834840788571078
Combined Equal-Weight,2021-07-30,0.0002823173721804382
Combined Equal-Weight,2021-08-02,-0.00041449549998878624
Combined Equal-Weight,2021-08-03,0.0028984554738739295
Combined Equal-Weight,2021-08-04,-0.0006855822474707844
Combined Equal-Weight,2021-08-05,0.006763876655075017
Combined Equal-Weight,2021-08-06,0.0065574618304001945
Combined Equal-Weight,2021-08-09,0.006843418909327442
Combined Equal-Weight,2021-08-10,0.00839153195052591
Combined Equal-Weight,2021-08-11,0.01764108417771884
Combined Equal-Weight,2021-08-12,-0.002135655200135237
Combined Equal-Weight,2021-08-13,0.017674559383084754
Combined Equal-Weight,2021-08-16,-0.008433254654068604
Combined Equal-Weight,2021-08-17,-0.015290825753124777
Combined Equal-Weight,2021-08-18,-0.008506412839214212
Combined Equal-Weight,2021-08-19,0.0064703088836362815
Combined Equal-Weight,2021-08-20,0.010881405382754462
Combined Equal-Weight,2021-08-23,0.012042506748717808
Combined Equal-Weight,2021-08-24,-0.00947256705076925
Combined Equal-Weight,2021-08-25,0.0038713081381516177
Combined Equal-Weight,2021-08-26,-0.016122481497608716
Combined Equal-Weight,2021-08-27,0.02151123226674198
Combined Equal-Weight,2021-08-30,-0.006425248361791525
Combined Equal-Weight,2021-08-31,0.005361457888820467
Combined Equal-Weight,2021-09-01,0.007531067699489176
Combined Equal-Weight,2021-09-02,0.007735529282360306
Combined Equal-Weight,2021-09-03,0.004866835916925921
Combined Equal-Weight,2021-09-07,-0.036280959812934784
Combined Equal-Weight,2021-09-08,-0.0015716560248669772
Combined Equal-Weight,2021-09-09,-0.004756211936891715
Combined Equal-Weight,2021-09-10,-0.010110524390361903
Combined Equal-Weight,2021-09-13,-0.002580416306756819
Combined Equal-Weight,2021-09-14,-0.0014324195158687495
Combined Equal-Weight,2021-09-15,0.012875051537632583
Combined Equal-Weight,2021-09-16,-0.00780368734541298
Combined Equal-Weight,2021-09-17,-0.014286215712741262
Combined Equal-Weight,2021-09-20,-0.03329331545513273
Combined Equal-Weight,2021-09-21,-0.010663478479630055
Combined Equal-Weight,2021-09-22,0.025647581307518146
Combined Equal-Weight,2021-09-23,0.012260223908901548
Combined Equal-Weight,2021-09-24,-0.012367511550657524
Combined Equal-Weight,2021-09-27,-0.0024383260660474316
Combined Equal-Weight,2021-09-28,-0.014791132484124888
Combined Equal-Weight,2021-09-29,0.00746668734471468
Combined Equal-Weight,2021-09-30,-0.0017850033793431175
Combined Equal-Weight,2021-10-01,0.024591481632230426
Combined Equal-Weight,2021-10-04,-0.004760865119006869
Combined Equal-Weight,2021-10-05,0.011263409404533145
Combined Equal-Weight,2021-10-06,0.005299640659841376
Combined Equal-Weight,2021-10-07,0.005638156018019543
Combined Equal-Weight,2021-10-08,-0.002315084894826297
Combined Equal-Weight,2021-10-11,-0.004783810819609661
Combined Equal-Weight,2021-10-12,-0.004723113417267521
Combined Equal-Weight,2021-10-13,0.00804623580702964
Combined Equal-Weight,2021-10-14,0.012013720336223653
Combined Equal-Weight,2021-10-15,0.007506264442978244
Combined Equal-Weight,2021-10-18,-0.0006564281322926671
Combined Equal-Weight,2021-10-19,0.010334411223166513
Combined Equal-Weight,2021-10-20,0.015919467021704395
Combined Equal-Weight,2021-10-21,-0.005106919703657935
Combined Equal-Weight,2021-10-22,-0.0005606793506842658
Combined Equal-Weight,2021-10-25,0.00820131279086554
Combined Equal-Weight,2021-10-26,0.0020380461203450533
Combined Equal-Weight,2021-10-27,-0.028659861087892757
Combined Equal-Weight,2021-10-28,0.016269624424211402
Combined Equal-Weight,2021-10-29,0.002378028928441149
Combined Equal-Weight,2021-11-01,0.005496539455518861
Combined Equal-Weight,2021-11-02,0.009294275797061706
Combined Equal-Weight,2021-11-03,0.006961779327564759
Combined Equal-Weight,2021-11-04,-0.0004541795884501549
Combined Equal-Weight,2021-11-05,0.001897790668587881
Combined Equal-Weight,2021-11-08,0.013160514517736172
Combined Equal-Weight,2021-11-09,0.009076821272139915
Combined Equal-Weight,2021-11-10,-0.014626270437855953
Combined Equal-Weight,2021-11-11,0.002818263951857184
Combined Equal-Weight,2021-11-12,-0.0017091093745052728
Combined Equal-Weight,2021-11-15,-0.0031997942733268006
