date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-02,0.11544833333333333,-0.06817095238095237,0.011983333333333328,0.06496666666666667,0.1363554761904762,0.11497300000000002,0.013411111111111111,0.02035,0.10158134615384615,0.3612
2020-01-03,0.016425,-0.23034791666666668,-0.11866809090909092,0.08810000000000001,0.09495,-0.21636249999999999,-0.058349999999999985,0.10686666666666667,0.08120267857142857,0.010933333333333333
2020-01-06,0.09601111111111112,0.026227083333333335,-0.011302196969696974,0.03407399999999999,0.182132,0.03209907407407407,-0.15472750000000002,0.007533333333333333,0.04673000000000001,-0.020887500000000003
2020-01-07,0.15553333333333333,0.08132750000000001,-0.009894444444444437,0.13442875,0.08464800000000001,0.004971428571428571,0.12246666666666667,0.01745,0.13754303571428572,0.3612
2020-01-08,0.05927,0.07723214285714286,-0.12723666666666666,0.32661666666666667,0.12843333333333334,-0.038696825396825396,-0.2546125,-0.094325,0.1612975,0.2899333333333333
2020-01-09,-0.027080000000000003,0.12821817460317458,-0.008277499999999998,0.14523999999999998,0.05399444444444445,0.015456666666666665,-0.13731111111111113,0.0077,0.089176,0.015000000000000001
2020-01-10,-0.12117916666666667,0.12495799999999999,-0.200256,0.17256666666666665,0.03246,0.022949999999999995,-0.17615,0.01044,0.20564875000000002,0.027512500000000002
2020-01-13,0.027043750000000002,0.02722371428571429,0.06339,0.10831428571428572,0.0693975,0.0456375,0.3237833333333333,0.08673333333333333,0.18527149999999998,-0.025899999999999996
2020-01-14,0.05148333333333334,0.011278333333333333,0.04658166666666667,0.03647142857142858,0.049975000000000006,0.15387833333333334,0.11859999999999998,0.0,0.1777333333333333,0.14475000000000002
2020-01-15,0.018138888888888885,0.034347380952380956,0.011300000000000001,0.042468000000000006,0.23234166666666667,-0.0377375,0.15795,0.0066125,0.04008533333333334,0.044845833333333335
2020-01-16,0.07806458333333333,0.0805975,0.19899238095238095,0.1432251623931624,0.1739,0.10043333333333333,0.013225,0.21320000000000003,0.24076388888888892,0.032579166666666666
2020-01-17,0.0322,0.09828711111111112,-0.004359722222222216,0.20757799999999998,0.14222777777777776,0.159475,0.14006666666666664,0.01675,0.11770202963702965,0.03369111111111111
