ticker,date,open,high,low,close,adjClose,volume,daily_return,return_zscore,is_return_outlier,mod_zscore,is_return_outlier_mad
ADA-USD,2020-03-12,0.03962700068950653,0.03970099985599518,0.02396100014448166,0.02396100014448166,0.02396100014448166,179944370,-0.3956719959237812,-7.403864192964502,True,-10.973065114847582,True
ADA-USD,2021-01-06,0.2585490047931671,0.3462980091571808,0.25622498989105225,0.3318980038166046,0.3318980038166046,6170988900,0.28486255679209194,5.221446471593809,True,7.864664082317089,True
ADA-USD,2021-02-10,0.703548014163971,0.9438930153846741,0.703548014163971,0.9303179979324341,0.9303179979324341,12667653585,0.32238355542300967,5.917537893064338,True,8.903274698920875,True
BCH-USD,2020-01-14,267.6441650390625,364.1580810546875,267.5311279296875,350.2635192871094,350.2635192871094,6618289058,0.30928460580585315,5.725407406527861,True,9.497298743287953,True
BCH-USD,2020-03-12,266.75347900390625,266.9176940917969,150.85890197753906,152.22499084472656,152.22499084472656,5267287206,-0.4295601601954183,-8.022827350300474,True,-13.24000242676297,True
BCH-USD,2021-01-09,440.986083984375,587.8895263671875,420.3533935546875,573.911376953125,573.911376953125,11980066195,0.30121453612901106,5.575241610508679,True,9.24894941045213,True
BCH-USD,2021-04-16,866.6513061523438,1170.7347412109375,827.9777221679688,1110.654296875,1110.654296875,13562048894,0.2793264275660756,5.167953275051129,True,8.575362021951396,True
BCH-USD,2021-05-05,951.869384765625,1474.2880859375,942.0247802734375,1454.93505859375,1454.93505859375,14081332554,0.5232012301314997,9.705913332737781,True,16.080395675674552,True
BCH-USD,2021-05-19,1093.3572998046875,1110.525634765625,507.7298278808594,706.7958374023438,706.7958374023438,10094456486,-0.3524843326069095,-6.58862003027214,True,-10.86806127558504,True
BCH-USD,2021-05-24,554.3440551757812,758.5371704101562,540.7056884765625,748.4216918945312,748.4216918945312,5693828648,0.34574387875757506,6.403832248482676,True,10.619300965799422,True
BCH-USD,2023-06-23,133.96011352539062,190.91835021972656,133.7311248779297,181.7744598388672,181.7744598388672,1124083040,0.3568941754827186,6.611314122943574,True,10.962441590787735,True
BTC-USD,2020-03-12,7913.6162109375,7929.1162109375,4860.35400390625,4970.7880859375,4970.7880859375,53980357243,-0.37169538560117077,-10.737621952529008,True,-17.081960303547778,True
BTC-USD,2020-03-19,5245.41650390625,6329.73583984375,5236.96875,6191.19287109375,6191.19287109375,51000731797,0.18187755736638023,5.1756669789131875,True,8.316309844935997,True
BTC-USD,2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,46196.46484375,101467222687,0.18746473766529936,5.336278901042434,True,8.572653144230076,True
EOS-USD,2020-03-12,3.0584170818328857,3.0666699409484863,1.8480910062789917,1.8480910062789917,1.8480910062789917,6776214413,-0.39602797384785726,-7.167595750905287,True,-12.110830476074382,True
EOS-USD,2021-05-05,6.3374199867248535,8.818597793579102,6.23162317276001,8.784547805786133,8.784547805786133,8595643987,0.37969096923150314,6.844604900942358,True,11.588138469502281,True
EOS-USD,2021-05-06,8.736405372619629,12.766373634338379,8.499970436096191,11.432257652282715,11.432257652282715,20328710732,0.30140536599420753,5.430492753110363,True,9.19643707229069,True
EOS-USD,2021-05-11,9.269244194030762,14.446660041809082,8.819717407226562,14.3655424118042,14.3655424118042,19747287698,0.5520823759487123,9.958597414760193,True,16.85486378377303,True
EOS-USD,2021-05-12,14.49703598022461,14.876485824584961,10.284602165222168,10.284602165222168,10.284602165222168,13854199527,-0.2840783960394502,-5.145394332291035,True,-8.690661880706676,True
EOS-USD,2021-05-19,9.34189224243164,9.47224235534668,4.372288227081299,5.755894184112549,5.755894184112549,9428366959,-0.3832731473391966,-6.937198917215261,True,-11.7211581082255,True
EOS-USD,2021-05-24,4.3038458824157715,5.620333194732666,4.201288223266602,5.607605934143066,5.607605934143066,3567180210,0.29771353066962236,5.363805278473851,True,9.083647908779731,True
ETC-USD,2020-03-12,6.576816082000732,6.594696998596191,3.9602999687194824,3.9639461040496826,3.9639461040496826,1769379393,-0.39732828508925355,-6.72772267086326,True,-11.94388800757143,True
ETC-USD,2021-02-13,12.022011756896973,17.75103759765625,11.841765403747559,16.592817306518555,16.592817306518555,4767114007,0.37948660618717556,6.333441553920246,True,11.381062930544259,True
ETC-USD,2021-04-15,21.950300216674805,29.805870056152344,21.52115249633789,28.652196884155273,28.652196884155273,3896283267,0.3036850487783964,5.05893381606831,True,9.105015409509587,True
ETC-USD,2021-04-16,28.6341552734375,46.07062911987305,28.6341552734375,38.53741455078125,38.53741455078125,10635029251,0.34500732026215153,5.75371577770601,True,10.345774264461948,True
ETC-USD,2021-05-04,52.124210357666016,71.93143463134766,49.61211395263672,69.49090576171875,69.49090576171875,13630779722,0.3348262905754864,5.582534583565372,True,10.040074643345315,True
ETC-USD,2021-05-05,69.23909759521484,100.0293197631836,68.12228393554688,94.26644134521484,94.26644134521484,23543754709,0.35652917906193804,5.9474413250001685,True,10.69173415045142,True
ETC-USD,2021-05-06,94.1517562866211,176.15769958496094,87.642822265625,134.10179138183594,134.10179138183594,42721411413,0.42258251683374093,7.058045024698827,True,12.675077775976527,True
ETC-USD,2021-05-19,88.80509948730469,90.2020263671875,40.96758270263672,60.121788024902344,60.121788024902344,10670122121,-0.32201439153450073,-5.461414386646234,True,-9.682483274152183,True
ETC-USD,2021-05-24,51.67326354980469,73.97311401367188,49.046852111816406,73.42115783691406,73.42115783691406,8536319378,0.41290192764650846,6.895278107397143,True,12.384404579079868,True
ETC-USD,2022-07-18,19.195308685302734,25.44963264465332,19.195308685302734,25.419828414916992,25.419828414916992,1661377755,0.32505887659860644,5.4183078167562915,True,9.74679441099982,True
ETC-USD,2022-07-27,25.03519058227539,32.95228576660156,24.98324966430664,32.721580505371094,32.721580505371094,4409691605,0.30696935509023837,5.114155291075019,True,9.203631288851938,True
ETH-USD,2020-03-12,194.73892211914062,195.14793395996094,111.21070861816406,112.34712219238281,112.34712219238281,22134741655,-0.42347221465293294,-9.39314178985568,True,-14.035633069178505,True
ETH-USD,2021-01-03,774.5118408203125,1006.5650024414062,771.5616455078125,975.5076904296875,975.5076904296875,45200463368,0.2594753293956862,5.648361848088466,True,8.512716349388652,True
