ticker,missing_dates,first_date,last_date
ADA-USD,0,2020-01-01,2023-12-31
BCH-USD,0,2020-01-01,2023-12-31
BTC-USD,0,2020-01-01,2023-12-31
EOS-USD,0,2020-01-01,2023-12-31
ETC-USD,0,2020-01-01,2023-12-31
ETH-USD,0,2020-01-01,2023-12-31
LTC-USD,0,2020-01-01,2023-12-31
TRX-USD,0,2020-01-01,2023-12-31
XLM-USD,0,2020-01-01,2023-12-31
XRP-USD,0,2020-01-01,2023-12-31
