config,discovery_sharpe,discovery_return,holdout_sharpe,holdout_return
Base (no tilt),0.5785323729627604,0.07866167027173354,0.4917118399442012,0.05383533650079553
Naive Momentum (lam=+1),0.654927830869704,0.09340395941196111,0.6171779193709894,0.06852024745247642
Naive Contrarian (lam=-1),0.24827228191494802,0.03581485668496276,0.38593834303754454,0.04526728262311752
Intensity Momentum (lam=+1),0.6049505304152609,0.0854789042989268,0.5195656775966837,0.05813399796994734
Intensity Contrarian (lam=-1),0.3750358283088533,0.05280762254209015,0.42706566614999025,0.04959071983382435
Intensity Momentum + Custom Lexicon (lam=+1),0.6438853796192234,0.09027477743012602,0.4427022160984606,0.049960641004081596
